"RefDes","Value","Quantity","Name"
"C1","","1","CAP_NONPOLARIZED"
"C2","","1","CAP_NONPOLARIZED"
"D1","","1","DA2J10100L"
"HS1","","1","HS-20W-TO220"
"J1","","1","644456-3"
"J2","Supply Batt","1","644456-2"
"J3","Test Batt","1","644456-2"
"Q1","","1","BUK9575-100A"
"R1","9k","1","RES_0805"
"R2","21.6K","1","RES_0805"
"R3","0","1","RES_0805"
"R4","27K","1","RES_0805"
"R5",".1","1","RES500"
"R6","68k","1","RES_0805"
"R7","1k","1","RES_0805"
"R8","28.7k","1","RES_0805"
"R9","","1","RES_0805"
"U1","","1","LMV358"
"U2","","1","LM2931D-R"
"VR1","10k","1","P090L-02F25BR"
"VR2","10k","1","P090L-02F25BR"
